id,path,target
MCWI (1158),./data/MCWI/MCWI (1158).png,2
CWI (65),./data/CWI/CWI (65).png,1
CI (250),./data/CI/CI (250).png,0
CI (744),./data/CI/CI (744).png,0
MCWI (732),./data/MCWI/MCWI (732).png,2
CWI (559),./data/CWI/CWI (559).png,1
CWI (127),./data/CWI/CWI (127).png,1
CWI (710),./data/CWI/CWI (710).png,1
CWI (652),./data/CWI/CWI (652).png,1
CWI (994),./data/CWI/CWI (994).png,1
CWI (246),./data/CWI/CWI (246).png,1
CI (1096),./data/CI/CI (1096).png,0
MCWI (475),./data/MCWI/MCWI (475).png,2
MCWI (192),./data/MCWI/MCWI (192).png,2
CI (1086),./data/CI/CI (1086).png,0
SOI (559),./data/SOI/SOI (559).png,3
SOI (570),./data/SOI/SOI (570).png,3
CI (643),./data/CI/CI (643).png,0
SOI (303),./data/SOI/SOI (303).png,3
CWI (1141),./data/CWI/CWI (1141).png,1
CWI (709),./data/CWI/CWI (709).png,1
SOI (660),./data/SOI/SOI (660).png,3
SOI (300),./data/SOI/SOI (300).png,3
SOI (830),./data/SOI/SOI (830).png,3
SOI (340),./data/SOI/SOI (340).png,3
SOI (952),./data/SOI/SOI (952).png,3
CI (719),./data/CI/CI (719).png,0
CI (472),./data/CI/CI (472).png,0
CI (401),./data/CI/CI (401).png,0
MCWI (152),./data/MCWI/MCWI (152).png,2
CI (425),./data/CI/CI (425).png,0
SOI (942),./data/SOI/SOI (942).png,3
CWI (515),./data/CWI/CWI (515).png,1
MCWI (455),./data/MCWI/MCWI (455).png,2
MCWI (622),./data/MCWI/MCWI (622).png,2
CI (770),./data/CI/CI (770).png,0
MCWI (513),./data/MCWI/MCWI (513).png,2
CI (857),./data/CI/CI (857).png,0
CWI (563),./data/CWI/CWI (563).png,1
MCWI (793),./data/MCWI/MCWI (793).png,2
CI (284),./data/CI/CI (284).png,0
CI (830),./data/CI/CI (830).png,0
MCWI (879),./data/MCWI/MCWI (879).png,2
MCWI (4),./data/MCWI/MCWI (4).png,2
SOI (1130),./data/SOI/SOI (1130).png,3
CWI (554),./data/CWI/CWI (554).png,1
CWI (740),./data/CWI/CWI (740).png,1
CWI (946),./data/CWI/CWI (946).png,1
CI (649),./data/CI/CI (649).png,0
SOI (144),./data/SOI/SOI (144).png,3
CI (676),./data/CI/CI (676).png,0
SOI (674),./data/SOI/SOI (674).png,3
MCWI (43),./data/MCWI/MCWI (43).png,2
SOI (152),./data/SOI/SOI (152).png,3
CWI (968),./data/CWI/CWI (968).png,1
MCWI (1102),./data/MCWI/MCWI (1102).png,2
CI (1002),./data/CI/CI (1002).png,0
CWI (495),./data/CWI/CWI (495).png,1
CWI (939),./data/CWI/CWI (939).png,1
CI (232),./data/CI/CI (232).png,0
CWI (184),./data/CWI/CWI (184).png,1
SOI (226),./data/SOI/SOI (226).png,3
CI (480),./data/CI/CI (480).png,0
CI (187),./data/CI/CI (187).png,0
CWI (374),./data/CWI/CWI (374).png,1
CI (746),./data/CI/CI (746).png,0
MCWI (279),./data/MCWI/MCWI (279).png,2
CWI (323),./data/CWI/CWI (323).png,1
CWI (437),./data/CWI/CWI (437).png,1
MCWI (18),./data/MCWI/MCWI (18).png,2
CI (1115),./data/CI/CI (1115).png,0
SOI (1168),./data/SOI/SOI (1168).png,3
SOI (476),./data/SOI/SOI (476).png,3
MCWI (489),./data/MCWI/MCWI (489).png,2
MCWI (843),./data/MCWI/MCWI (843).png,2
MCWI (986),./data/MCWI/MCWI (986).png,2
MCWI (71),./data/MCWI/MCWI (71).png,2
CWI (35),./data/CWI/CWI (35).png,1
MCWI (264),./data/MCWI/MCWI (264).png,2
CI (1181),./data/CI/CI (1181).png,0
SOI (965),./data/SOI/SOI (965).png,3
CWI (780),./data/CWI/CWI (780).png,1
SOI (966),./data/SOI/SOI (966).png,3
SOI (383),./data/SOI/SOI (383).png,3
CWI (774),./data/CWI/CWI (774).png,1
CI (840),./data/CI/CI (840).png,0
MCWI (825),./data/MCWI/MCWI (825).png,2
CI (1113),./data/CI/CI (1113).png,0
SOI (614),./data/SOI/SOI (614).png,3
CI (448),./data/CI/CI (448).png,0
SOI (348),./data/SOI/SOI (348).png,3
CWI (485),./data/CWI/CWI (485).png,1
SOI (157),./data/SOI/SOI (157).png,3
SOI (706),./data/SOI/SOI (706).png,3
CI (1068),./data/CI/CI (1068).png,0
SOI (1114),./data/SOI/SOI (1114).png,3
MCWI (413),./data/MCWI/MCWI (413).png,2
CI (1038),./data/CI/CI (1038).png,0
MCWI (537),./data/MCWI/MCWI (537).png,2
CI (1126),./data/CI/CI (1126).png,0
MCWI (696),./data/MCWI/MCWI (696).png,2
CI (763),./data/CI/CI (763).png,0
CWI (743),./data/CWI/CWI (743).png,1
CWI (89),./data/CWI/CWI (89).png,1
MCWI (105),./data/MCWI/MCWI (105).png,2
SOI (351),./data/SOI/SOI (351).png,3
MCWI (205),./data/MCWI/MCWI (205).png,2
MCWI (911),./data/MCWI/MCWI (911).png,2
CWI (96),./data/CWI/CWI (96).png,1
MCWI (1058),./data/MCWI/MCWI (1058).png,2
SOI (1021),./data/SOI/SOI (1021).png,3
CI (653),./data/CI/CI (653).png,0
SOI (472),./data/SOI/SOI (472).png,3
CWI (989),./data/CWI/CWI (989).png,1
MCWI (1041),./data/MCWI/MCWI (1041).png,2
SOI (838),./data/SOI/SOI (838).png,3
MCWI (381),./data/MCWI/MCWI (381).png,2
MCWI (1116),./data/MCWI/MCWI (1116).png,2
SOI (931),./data/SOI/SOI (931).png,3
CWI (604),./data/CWI/CWI (604).png,1
MCWI (503),./data/MCWI/MCWI (503).png,2
CWI (1190),./data/CWI/CWI (1190).png,1
MCWI (1084),./data/MCWI/MCWI (1084).png,2
CWI (628),./data/CWI/CWI (628).png,1
MCWI (779),./data/MCWI/MCWI (779).png,2
CWI (22),./data/CWI/CWI (22).png,1
CI (773),./data/CI/CI (773).png,0
CI (1091),./data/CI/CI (1091).png,0
MCWI (991),./data/MCWI/MCWI (991).png,2
SOI (621),./data/SOI/SOI (621).png,3
SOI (608),./data/SOI/SOI (608).png,3
SOI (286),./data/SOI/SOI (286).png,3
MCWI (229),./data/MCWI/MCWI (229).png,2
CI (1170),./data/CI/CI (1170).png,0
CI (117),./data/CI/CI (117).png,0
CWI (157),./data/CWI/CWI (157).png,1
CWI (873),./data/CWI/CWI (873).png,1
MCWI (464),./data/MCWI/MCWI (464).png,2
SOI (933),./data/SOI/SOI (933).png,3
CI (177),./data/CI/CI (177).png,0
CI (274),./data/CI/CI (274).png,0
SOI (2),./data/SOI/SOI (2).png,3
CI (1151),./data/CI/CI (1151).png,0
CI (1050),./data/CI/CI (1050).png,0
SOI (992),./data/SOI/SOI (992).png,3
CWI (439),./data/CWI/CWI (439).png,1
MCWI (610),./data/MCWI/MCWI (610).png,2
SOI (1037),./data/SOI/SOI (1037).png,3
CI (705),./data/CI/CI (705).png,0
CI (209),./data/CI/CI (209).png,0
MCWI (1132),./data/MCWI/MCWI (1132).png,2
MCWI (928),./data/MCWI/MCWI (928).png,2
SOI (547),./data/SOI/SOI (547).png,3
MCWI (694),./data/MCWI/MCWI (694).png,2
CI (77),./data/CI/CI (77).png,0
CI (499),./data/CI/CI (499).png,0
CWI (364),./data/CWI/CWI (364).png,1
MCWI (574),./data/MCWI/MCWI (574).png,2
CI (842),./data/CI/CI (842).png,0
CWI (795),./data/CWI/CWI (795).png,1
MCWI (207),./data/MCWI/MCWI (207).png,2
CWI (208),./data/CWI/CWI (208).png,1
CI (578),./data/CI/CI (578).png,0
MCWI (971),./data/MCWI/MCWI (971).png,2
CWI (1076),./data/CWI/CWI (1076).png,1
CWI (869),./data/CWI/CWI (869).png,1
MCWI (899),./data/MCWI/MCWI (899).png,2
CWI (222),./data/CWI/CWI (222).png,1
CI (853),./data/CI/CI (853).png,0
SOI (1025),./data/SOI/SOI (1025).png,3
MCWI (804),./data/MCWI/MCWI (804).png,2
CI (404),./data/CI/CI (404).png,0
CWI (826),./data/CWI/CWI (826).png,1
CI (1122),./data/CI/CI (1122).png,0
CI (141),./data/CI/CI (141).png,0
CWI (413),./data/CWI/CWI (413).png,1
CI (778),./data/CI/CI (778).png,0
CWI (751),./data/CWI/CWI (751).png,1
CI (482),./data/CI/CI (482).png,0
CWI (694),./data/CWI/CWI (694).png,1
CI (949),./data/CI/CI (949).png,0
CI (813),./data/CI/CI (813).png,0
SOI (639),./data/SOI/SOI (639).png,3
MCWI (496),./data/MCWI/MCWI (496).png,2
MCWI (93),./data/MCWI/MCWI (93).png,2
CI (937),./data/CI/CI (937).png,0
SOI (1174),./data/SOI/SOI (1174).png,3
MCWI (158),./data/MCWI/MCWI (158).png,2
CI (105),./data/CI/CI (105).png,0
CWI (798),./data/CWI/CWI (798).png,1
CWI (714),./data/CWI/CWI (714).png,1
CWI (1003),./data/CWI/CWI (1003).png,1
MCWI (1018),./data/MCWI/MCWI (1018).png,2
CI (647),./data/CI/CI (647).png,0
MCWI (73),./data/MCWI/MCWI (73).png,2
SOI (967),./data/SOI/SOI (967).png,3
CI (731),./data/CI/CI (731).png,0
CWI (746),./data/CWI/CWI (746).png,1
CWI (506),./data/CWI/CWI (506).png,1
CWI (383),./data/CWI/CWI (383).png,1
CWI (546),./data/CWI/CWI (546).png,1
SOI (1186),./data/SOI/SOI (1186).png,3
SOI (494),./data/SOI/SOI (494).png,3
MCWI (632),./data/MCWI/MCWI (632).png,2
CI (589),./data/CI/CI (589).png,0
CWI (666),./data/CWI/CWI (666).png,1
MCWI (587),./data/MCWI/MCWI (587).png,2
CI (805),./data/CI/CI (805).png,0
MCWI (327),./data/MCWI/MCWI (327).png,2
MCWI (109),./data/MCWI/MCWI (109).png,2
CWI (804),./data/CWI/CWI (804).png,1
CWI (455),./data/CWI/CWI (455).png,1
CWI (942),./data/CWI/CWI (942).png,1
MCWI (639),./data/MCWI/MCWI (639).png,2
MCWI (38),./data/MCWI/MCWI (38).png,2
CI (247),./data/CI/CI (247).png,0
SOI (220),./data/SOI/SOI (220).png,3
CWI (954),./data/CWI/CWI (954).png,1
CWI (957),./data/CWI/CWI (957).png,1
CI (243),./data/CI/CI (243).png,0
CWI (151),./data/CWI/CWI (151).png,1
MCWI (1038),./data/MCWI/MCWI (1038).png,2
MCWI (183),./data/MCWI/MCWI (183).png,2
CWI (377),./data/CWI/CWI (377).png,1
MCWI (691),./data/MCWI/MCWI (691).png,2
CWI (302),./data/CWI/CWI (302).png,1
SOI (93),./data/SOI/SOI (93).png,3
MCWI (555),./data/MCWI/MCWI (555).png,2
CWI (84),./data/CWI/CWI (84).png,1
MCWI (1004),./data/MCWI/MCWI (1004).png,2
SOI (990),./data/SOI/SOI (990).png,3
CWI (421),./data/CWI/CWI (421).png,1
CI (1053),./data/CI/CI (1053).png,0
CWI (906),./data/CWI/CWI (906).png,1
MCWI (1095),./data/MCWI/MCWI (1095).png,2
CI (616),./data/CI/CI (616).png,0
CI (889),./data/CI/CI (889).png,0
MCWI (1160),./data/MCWI/MCWI (1160).png,2
CI (522),./data/CI/CI (522).png,0
CWI (529),./data/CWI/CWI (529).png,1
MCWI (399),./data/MCWI/MCWI (399).png,2
CWI (887),./data/CWI/CWI (887).png,1
SOI (166),./data/SOI/SOI (166).png,3
SOI (620),./data/SOI/SOI (620).png,3
CWI (695),./data/CWI/CWI (695).png,1
SOI (270),./data/SOI/SOI (270).png,3
SOI (705),./data/SOI/SOI (705).png,3
SOI (323),./data/SOI/SOI (323).png,3
SOI (1104),./data/SOI/SOI (1104).png,3
SOI (629),./data/SOI/SOI (629).png,3
MCWI (404),./data/MCWI/MCWI (404).png,2
SOI (28),./data/SOI/SOI (28).png,3
SOI (110),./data/SOI/SOI (110).png,3
CWI (145),./data/CWI/CWI (145).png,1
MCWI (1174),./data/MCWI/MCWI (1174).png,2
CWI (1114),./data/CWI/CWI (1114).png,1
CI (610),./data/CI/CI (610).png,0
MCWI (70),./data/MCWI/MCWI (70).png,2
CWI (665),./data/CWI/CWI (665).png,1
CWI (1064),./data/CWI/CWI (1064).png,1
MCWI (499),./data/MCWI/MCWI (499).png,2
SOI (426),./data/SOI/SOI (426).png,3
CI (5),./data/CI/CI (5).png,0
CWI (304),./data/CWI/CWI (304).png,1
SOI (937),./data/SOI/SOI (937).png,3
SOI (1071),./data/SOI/SOI (1071).png,3
CWI (524),./data/CWI/CWI (524).png,1
CWI (908),./data/CWI/CWI (908).png,1
CWI (1130),./data/CWI/CWI (1130).png,1
CWI (1006),./data/CWI/CWI (1006).png,1
MCWI (392),./data/MCWI/MCWI (392).png,2
CWI (418),./data/CWI/CWI (418).png,1
MCWI (924),./data/MCWI/MCWI (924).png,2
CI (396),./data/CI/CI (396).png,0
SOI (214),./data/SOI/SOI (214).png,3
CI (1196),./data/CI/CI (1196).png,0
CI (1099),./data/CI/CI (1099).png,0
CI (1127),./data/CI/CI (1127).png,0
